Designator,Mid X,Mid Y,Rotation,Layer
D1,21.462522,-82.03124,0.0,top
D10,89.470703,-86.295633,0.0,top
D11,21.465688,-116.049341,0.0,top
D12,38.474504,-99.045334,0.0,top
D13,55.472067,-90.545581,0.0,top
D14,72.47491,-99.056471,0.0,top
D15,89.473655,-103.296926,0.0,top
D16,89.46358,-120.30455,0.0,top
D17,112.056145,-123.2508,250.0,top
D18,128.035838,-129.071595,250.0,top
D2,38.473834,-65.047598,0.0,top
D3,55.466813,-56.546579,0.0,top
D4,72.468907,-65.044661,0.0,top
D5,89.460199,-69.297134,0.0,top
D6,21.476164,-99.040085,0.0,top
D7,38.46368,-82.042578,0.0,top
D8,55.464834,-73.553293,0.0,top
D9,72.467562,-82.03957,0.0,top
DISPLAY1,108.335877,-84.586503,0.0,top
PWR1,74.716665,-129.512188,0.0,top
RST1,55.04064,-129.77214,180.0,top
SW1,21.185877,-84.431503,0.0,top
SW10,89.185877,-88.681503,0.0,top
SW11,21.185877,-118.431503,0.0,top
SW12,38.185877,-101.431503,0.0,top
SW13,55.185877,-92.931503,0.0,top
SW14,72.185877,-101.431503,0.0,top
SW15,89.185877,-105.681503,0.0,top
SW16,89.185877,-122.681503,0.0,top
SW17,109.905201,-122.178633,250.0,top
SW18,125.879976,-127.992974,250.0,top
SW2,38.185877,-67.431503,0.0,top
SW3,55.185877,-58.931503,0.0,top
SW4,72.185877,-67.431503,0.0,top
SW5,89.185877,-71.681503,0.0,top
SW6,21.185877,-101.431503,0.0,top
SW7,38.185877,-84.431503,0.0,top
SW8,55.185877,-75.931503,0.0,top
SW9,72.185877,-84.431503,0.0,top
U1,108.37368,-80.342691,270.0,top
