Designator,Mid X,Mid Y,Rotation,Layer
D19,259.513626,-82.049004,0.0,top
D20,242.518527,-65.049554,0.0,top
D21,225.513244,-56.550326,0.0,top
D22,208.517285,-65.047911,0.0,top
D23,191.511771,-69.290692,0.0,top
D24,259.51716,-99.052682,0.0,top
D25,242.521653,-82.055387,0.0,top
D26,225.516431,-73.55271,0.0,top
D27,208.516129,-82.049351,0.0,top
D28,191.521232,-86.296361,0.0,top
D29,259.51672,-116.04713,0.0,top
D30,242.514063,-99.043182,0.0,top
D31,225.524778,-90.551195,0.0,top
D32,208.526021,-99.035441,0.0,top
D33,191.510986,-103.302354,0.0,top
D34,191.536443,-120.289401,0.0,top
D35,168.175914,-122.718155,110.0,top
D36,152.205639,-128.544991,110.0,top
DISPLAY2,172.085877,-84.586503,0.0,top
PWR2,205.735932,-129.500132,0.0,top
RST2,225.084029,-129.640914,180.0,top
SW19,259.235877,-84.431503,0.0,top
SW20,242.235877,-67.431503,0.0,top
SW21,225.235877,-58.931503,0.0,top
SW22,208.235877,-67.431503,0.0,top
SW23,191.235877,-71.681503,0.0,top
SW24,259.235877,-101.431503,0.0,top
SW25,242.235877,-84.431503,0.0,top
SW26,225.235877,-75.931503,0.0,top
SW27,208.235877,-84.431503,0.0,top
SW28,191.235877,-88.681503,0.0,top
SW29,259.235877,-118.431503,0.0,top
SW30,242.235877,-101.431503,0.0,top
SW31,225.235877,-92.931503,0.0,top
SW32,208.235877,-101.431503,0.0,top
SW33,191.235877,-105.681503,0.0,top
SW34,191.235877,-122.681503,0.0,top
SW35,170.504362,-122.175594,110.0,top
SW36,154.529588,-127.989936,110.0,top
U2,172.144654,-80.342691,270.0,top
